start_year,location,admin_units,total_damage_thousand_usd,total_deaths,latitude,longitude,total_damage_usd,admin_l,loc_l,state_guess
2006,"Melaka, Negeri Sembilan, Pahang, Johor provinces","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1896,""adm1_name"":""Negeri Sembilan""},{""adm1_code"":1897,""adm1_name"":""Pahang""}]",22000,6,1.87,103.22,22000000,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1895,""adm1_name"":""melaka""},{""adm1_code"":1896,""adm1_name"":""negeri sembilan""},{""adm1_code"":1897,""adm1_name"":""pahang""}]","melaka, negeri sembilan, pahang, johor provinces",Johor
2007,"Johor, Pahang provinces","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1897,""adm1_name"":""Pahang""}]",605000,17,2.19,103.37,605000000,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1897,""adm1_name"":""pahang""}]","johor, pahang provinces",Johor
2007,"Johor, Kelantan, Pahang, Terengganu provinces","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",363000,29,3.89,102.93,363000000,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]","johor, kelantan, pahang, terengganu provinces",Johor
2008,"Cherating area (Kuantan district, Pahang province), Kelantan, Terengganu provinces","[{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1904,""adm1_name"":""Terengganu""},{""adm2_code"":37381,""adm2_name"":""Kuantan""}]",0,NA,4.94,101.8,0,"[{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1904,""adm1_name"":""terengganu""},{""adm2_code"":37381,""adm2_name"":""kuantan""}]","cherating area (kuantan district, pahang province), kelantan, terengganu provinces",Kelantan
2008,"Pahang, Kelantan, Terengganu, Sarawak provinces","[{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1902,""adm1_name"":""Sarawak""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",0,NA,6.64,101.1,0,"[{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1902,""adm1_name"":""sarawak""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]","pahang, kelantan, terengganu, sarawak provinces",Kelantan
2009,"Kedah, Terengganu, Kelantan, Perak provinces","[{""adm1_code"":1892,""adm1_name"":""Kedah""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",0,NA,5.74,100.96,0,"[{""adm1_code"":1892,""adm1_name"":""kedah""},{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1898,""adm1_name"":""perak""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]","kedah, terengganu, kelantan, perak provinces",Kedah
2009,"Hulu Terengganu, Besut, Setiu, Dungun, Marang, Kemaman districts (Terengganu province)","[{""adm2_code"":37463,""adm2_name"":""Besut""},{""adm2_code"":37464,""adm2_name"":""Dungun""},{""adm2_code"":37465,""adm2_name"":""Hulu Terengganu""},{""adm2_code"":37466,""adm2_name"":""Kemaman""},{""adm2_code"":37468,""adm2_name"":""Marang""},{""adm2_code"":37469,""adm2_name"":""Setiu""}]",0,NA,4.99,102.36,0,"[{""adm2_code"":37463,""adm2_name"":""besut""},{""adm2_code"":37464,""adm2_name"":""dungun""},{""adm2_code"":37465,""adm2_name"":""hulu terengganu""},{""adm2_code"":37466,""adm2_name"":""kemaman""},{""adm2_code"":37468,""adm2_name"":""marang""},{""adm2_code"":37469,""adm2_name"":""setiu""}]","hulu terengganu, besut, setiu, dungun, marang, kemaman districts (terengganu province)",Terengganu
2011,Johor province,"[{""adm1_code"":1891,""adm1_name"":""Johor""}]",0,2,-4.05208,104.67,0,"[{""adm1_code"":1891,""adm1_name"":""johor""}]",johor province,Johor
2013,"Kuala Lumpur, Pahang, Terengganu, Johor, Kelantan provinces","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",2000,4,3.58444,102.36,2000000,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1894,""adm1_name"":""kuala lumpur""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]","kuala lumpur, pahang, terengganu, johor, kelantan provinces",Johor
2014,"Sabah, Kelantan, Pahang, Terengganu, Perak, Johor, Selangor, Perlis provinces","[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1899,""adm1_name"":""Perlis""},{""adm1_code"":1901,""adm1_name"":""Sabah""},{""adm1_code"":1903,""adm1_name"":""Selangor""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",284000,17,NA,NA,284000000,"[{""adm1_code"":1891,""adm1_name"":""johor""},{""adm1_code"":1893,""adm1_name"":""kelantan""},{""adm1_code"":1897,""adm1_name"":""pahang""},{""adm1_code"":1898,""adm1_name"":""perak""},{""adm1_code"":1899,""adm1_name"":""perlis""},{""adm1_code"":1901,""adm1_name"":""sabah""},{""adm1_code"":1903,""adm1_name"":""selangor""},{""adm1_code"":1904,""adm1_name"":""terengganu""}]","sabah, kelantan, pahang, terengganu, perak, johor, selangor, perlis provinces",Johor
