state,lon,lat
Selangor,101.64898013051592,3.280637054175013
Selangor,101.84863696184443,3.060872331065857
Selangor,101.58503829367329,3.556090230986112
Selangor,101.3848978029918,3.0311269745776617
Selangor,101.50129627436073,2.827067841933801
Selangor,101.32682384982255,3.3889378226276903
Selangor,101.57027680906685,3.092429519584334
Selangor,101.0950233372429,3.6738749046135495
Selangor,101.68418257148029,2.7868317267428475
Trengganu,102.51645039455616,5.592467788831373
Trengganu,103.14181018238378,4.671770018289682
Trengganu,102.77822169540809,5.047986401706034
Trengganu,103.22604521587023,4.275803890691215
Trengganu,103.03200874636458,5.340499908891685
Trengganu,103.2129720456586,5.06722150145777
Trengganu,102.79214556486228,5.454279215315715
